objectid,parentid,title,alt_title,creator,editor,date,description,subject,location,latitude,longitude,source,identifier,identifier2,locus,type,format,language,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
lcc_exordio,,0. Exordio,"El lazarillo de ciegos caminantes: desde Buenos-Ayres hasta Lima con sus itinerarios segun la mas puntual observacion, con algunas noticias utiles á los nuevos comerciantes que tratan en mulas y otras historias ",Alonso Carrió de la Vandera,Imprenta de la Rovada,1773,"<i>El lazarillo de ciegos caminantes</i>: desde Buenos-Ayres, hasta Lima con sus itinerarios segun la mas puntual observacion, con algunas noticias utiles á los nuevos comerciantes que tratan en mulas y otras historias; sacado de las memorias que hizo don Alonso Carriò de la Vandera en este dilatado viage...",prosa; impreso,Lima,-12.04318,-77.02824,Biblioteca Nacional (España),sig. R/22795,,B1-B7,,,español,transcripciones,,/objects/small/lcc_16r.jpg,/objects/thumbs/lcc_16r.jpg,,/objects/transcripciones/lcc_exordio.html
lcc_f16r,lcc_exordio,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_16r.jpg,/objects/small/lcc_16r.jpg,/objects/thumbs/lcc_16r.jpg,,
lcc_f16v,lcc_exordio,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_16v.jpg,/objects/small/lcc_16v.jpg,/objects/thumbs/lcc_16v.jpg,,
lcc_f17r,lcc_exordio,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_17r.jpg,/objects/small/lcc_17r.jpg,/objects/thumbs/lcc_17r.jpg,,
lcc_f17v,lcc_exordio,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_17v.jpg,/objects/small/lcc_17v.jpg,/objects/thumbs/lcc_17v.jpg,,
lcc_f18r,lcc_exordio,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_18r.jpg,/objects/small/lcc_18r.jpg,/objects/thumbs/lcc_18r.jpg,,
lcc_f18v,lcc_exordio,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_18v.jpg,/objects/small/lcc_18v.jpg,/objects/thumbs/lcc_18v.jpg,,
lcc_f19r,lcc_exordio,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_19r.jpg,/objects/small/lcc_19r.jpg,/objects/thumbs/lcc_19r.jpg,,
lcc_montevideo,,1. De Montevideo a Buenos Aires,"El lazarillo de ciegos caminantes: desde Buenos-Ayres hasta Lima con sus itinerarios segun la mas puntual observacion, con algunas noticias utiles á los nuevos comerciantes que tratan en mulas y otras historias ",Alonso Carrió de la Vandera,Imprenta de la Rovada,1773,Capitulo dedicado a la provincia de Buenos Aires,"Prosa;impresio, ejemplo",Lima,-1.204.318,-7.702.824,Biblioteca Nacional (España),sig. R/22795,,b8-d6-anexo,,,español ,transcripciones,,/objects/small/lcc_b8.jpg,/objects/thumbs/lcc_b8.jpg,,/objects/transcripciones/folios-b8-anexo.html
lcc_montevideo_b8,lcc_montevideo,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_b8.jpg,/objects/small/lcc_b8.jpg,/objects/thumbs/lcc_b8.jpg,,
lcc_montevideo_c1,lcc_montevideo,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_c1.jpg,/objects/small/lcc_c1.jpg,/objects/thumbs/lcc_c1.jpg,,
lcc_montevideo_c2,lcc_montevideo,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_c2.jpg,/objects/small/lcc_c2.jpg,/objects/thumbs/lcc_c2.jpg,,
lcc_montevideo_c3,lcc_montevideo,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_c3.jpg,/objects/small/lcc_c3.jpg,/objects/thumbs/lcc_c3.jpg,,
lcc_montevideo_c4,lcc_montevideo,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_c4.jpg,/objects/small/lcc_c4.jpg,/objects/thumbs/lcc_c4.jpg,,
lcc_montevideo_c5,lcc_montevideo,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_c5.jpg,/objects/small/lcc_c5.jpg,/objects/thumbs/lcc_c5.jpg,,
Icc_montevideo_c6,Icc_montevideo,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_c6.jpg,/objects/small/lcc_c6.jpg,/objects/thumbs/lcc_c6.jpg,,
lcc_montevideo_c7,lcc_montevideo,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_c7.jpg,/objects/small/lcc_c7.jpg,/objects/thumbs/lcc_c7.jpg,,
lcc_montevideo_c8,lcc_montevideo,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_c8.JPG,/objects/small/lcc_c8.JPG,/objects/thumbs/lcc_c8.JPG,,
lcc_montevideo_d1,lcc_montevideo,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_d1.JPG,/objects/small/lcc_d1.JPG,/objects/thumbs/lcc_d1.JPG,,
lcc_montevideo_d2,lcc_montevideo,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_d2.jpg,/objects/small/lcc_d2.jpg,/objects/thumbs/lcc_d2.jpg,,
lcc_montevideo_d3,lcc_montevideo,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_d3.jpg,/objects/small/lcc_d3.jpg,/objects/thumbs/lcc_d3.jpg,,
lcc_montevideo_d4,lcc_montevideo,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_d4.jpg,/objects/small/lcc_d4.jpg,/objects/thumbs/lcc_d4.jpg,,
lcc_montevideo_d5,lcc_montevideo,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_d5.jpg,/objects/small/lcc_d5.jpg,/objects/thumbs/lcc_d5.jpg,,
lcc_montevideo_d6,lcc_montevideo,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_d6.jpg,/objects/small/lcc_d6.jpg,/objects/thumbs/lcc_d6.jpg,,
lcc_montevideo_anexo,lcc_montevideo,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_anexo.jpg,/objects/small/lcc_anexo.jpg,/objects/thumbs/lcc_anexo.jpg,,
lcc_nota,,2. Notas a la región de Buenos Aires,"El lazarillo de ciegos caminantes: desde Buenos-Ayres hasta Lima con sus itinerarios segun la mas puntual observacion, con algunas noticias utiles á los nuevos comerciantes que tratan en mulas y otras historias ",Alonso Carrió de la Vandera,Imprenta de la Rovada,1773,descripcion de nuestra capitulo agregar,prosa; impreso,Lima,-1.204.318,-7.702.824,Biblioteca Nacional (España),sig. R/22796,,d7-g2,Image;StillImage,image/jpeg,español,transcripciones,,/objects/small/lcc_d7.jpg,/objects/thumbs/lcc_d7.jpg,,/objects/transcripciones/lcc_nota.html
lcc_nota_d7,lcc_nota,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_d7.jpg,/objects/small/lcc_d7.jpg,/objects/thumbs/lcc_d7.jpg,,
